Size;DataType;Algorithm;Comparisons;Swaps;Time_us
10;random;classic;81;24;0
10;random;flag;42;24;0
10;random;boundary;40;24;0
10;sorted;classic;81;0;0
10;sorted;flag;9;0;0
10;sorted;boundary;9;0;0
10;reversed;classic;81;45;0
10;reversed;flag;45;45;0
10;reversed;boundary;45;45;0
100;random;classic;9801;2416;0
100;random;flag;4922;2416;0
100;random;boundary;4797;2416;0
100;sorted;classic;9801;0;0
100;sorted;flag;99;0;0
100;sorted;boundary;99;0;0
100;reversed;classic;9801;4950;0
100;reversed;flag;4950;4950;0
100;reversed;boundary;4950;4950;0
500;random;classic;249001;62524;0
500;random;flag;124399;62524;996
500;random;boundary;122415;62524;0
500;sorted;classic;249001;0;0
500;sorted;flag;499;0;0
500;sorted;boundary;499;0;0
500;reversed;classic;249001;124750;1096
500;reversed;flag;124750;124750;0
500;reversed;boundary;124750;124750;999
1000;random;classic;998001;243653;1997
1000;random;flag;499269;243653;998
1000;random;boundary;496463;243653;1997
1000;sorted;classic;998001;0;998
1000;sorted;flag;999;0;0
1000;sorted;boundary;999;0;0
1000;reversed;classic;998001;499500;2115
1000;reversed;flag;499500;499500;1014
1000;reversed;boundary;499500;499500;2500
2000;random;classic;3996001;1004015;7484
2000;random;flag;1997622;1004015;6126
2000;random;boundary;1997433;1004015;5616
2000;sorted;classic;3996001;0;4008
2000;sorted;flag;1999;0;0
2000;sorted;boundary;1999;0;0
2000;reversed;classic;3996001;1999000;8397
2000;reversed;flag;1999000;1999000;6969
2000;reversed;boundary;1999000;1999000;6629
5000;random;classic;24990001;6135251;48541
5000;random;flag;12481390;6135251;39144
5000;random;boundary;12463319;6135251;37407
5000;sorted;classic;24990001;0;22760
5000;sorted;flag;4999;0;996
5000;sorted;boundary;4999;0;0
5000;reversed;classic;24990001;12497500;52695
5000;reversed;flag;12497500;12497500;43855
5000;reversed;boundary;12497500;12497500;44020
10000;random;classic;99980001;24977619;212206
10000;random;flag;49987250;24977619;181663
10000;random;boundary;49979193;24977619;170464
10000;sorted;classic;99980001;0;94488
10000;sorted;flag;9999;0;0
10000;sorted;boundary;9999;0;0
10000;reversed;classic;99980001;49995000;211808
10000;reversed;flag;49995000;49995000;175376
10000;reversed;boundary;49995000;49995000;173534
